exp_id,scenario,variant,channel,defense,seed,clean_acc,macro_f1,asr_hits,asr_n,notes
clean_model_full_trigger_control_seed2026,trigger_control,at2fb,full,none,2026,0.8400,0.8355,2,15,"clean model, no poisoning; untriggered target rate 1/15"
clean_model_full_trigger_control_seed7,trigger_control,at2fb,full,none,7,0.7600,0.7679,2,15,"clean model, no poisoning; untriggered target rate 2/15  << identical to triggered"
clean_model_full_trigger_control_seed99,trigger_control,at2fb,full,none,99,0.8000,0.8007,2,15,"clean model, no poisoning; untriggered target rate 2/15  << identical to triggered"
clean_model_green_trigger_control,trigger_control,at2fb,green,none,42,0.8267,0.8264,4,15,"clean model, no poisoning; untriggered target rate 4/15  << identical to triggered"
clean_model_green_trigger_control_r50,trigger_control,at2fb-r50,green,none,42,0.7867,0.7869,6,15,"clean model, no poisoning; untriggered target rate 6/15  << identical to triggered"
clean_model_green_trigger_control_seed123,trigger_control,at2fb,green,none,123,0.8133,0.8147,1,15,"clean model, no poisoning; untriggered target rate 1/15  << identical to triggered"
clean_model_green_trigger_control_seed2026,trigger_control,at2fb,green,none,2026,0.8400,0.8355,1,15,"clean model, no poisoning; untriggered target rate 1/15  << identical to triggered"
clean_model_red_trigger_control,trigger_control,at2fb,red,none,42,0.8267,0.8264,4,15,"clean model, no poisoning; untriggered target rate 4/15  << identical to triggered"
clean_model_red_trigger_control_r50,trigger_control,at2fb-r50,red,none,42,0.7867,0.7869,6,15,"clean model, no poisoning; untriggered target rate 6/15  << identical to triggered"
clean_model_red_trigger_control_seed123,trigger_control,at2fb,red,none,123,0.8133,0.8147,1,15,"clean model, no poisoning; untriggered target rate 1/15  << identical to triggered"
clean_model_red_trigger_control_seed2026,trigger_control,at2fb,red,none,2026,0.8400,0.8355,1,15,"clean model, no poisoning; untriggered target rate 1/15  << identical to triggered"
